candidate,state,district,office_type,race_type,race_primary_election_date,primary_status,primary_runoff_status,general_status,primary_pctg,won_primary,rep_party_support,trump_endorsed,bannon_endorsed,great_america_endorsed,nra_endorsed,right_to_life_endorsed,susan_b_anthony_endorsed,club_for_growth_endorsed,koch_support,house_freedom_support,tea_party_endorsed,main_street_endorsed,chamber_endorsed,no_labels_support,num_endorsements,num_non_endorsements
Court Boice,OR,U.S. House Oregon District 4,Representative,Regular,5/15/18,Lost,None,None,23.62,No,,,,,,Yes,,,,,,,,,1,0
Michael Polen,OR,U.S. House Oregon District 4,Representative,Regular,5/15/18,Lost,None,None,5.95,No,,,,,,No,,,,,,,,,0,1
Mark Callahan,OR,U.S. House Oregon District 5,Representative,Regular,5/15/18,Advanced,None,On the Ballot,61.9,Yes,,,,,,Yes,,,,,,,,,1,0
Joey Nations,OR,U.S. House Oregon District 5,Representative,Regular,5/15/18,Lost,None,None,20.61,No,,,,,,No,,,,,,,,,0,1
Robert Reynolds,OR,U.S. House Oregon District 5,Representative,Regular,5/15/18,Lost,None,None,16.64,No,,,,,,Yes,,,,,,,,,1,0
Scott Wagner,PA,Governor of Pennsylvania,Governor,Regular,5/15/18,Advanced,None,On the Ballot,44.3,Yes,,,Yes,,,,,,,,,,,,1,0
Laura Ellsworth,PA,Governor of Pennsylvania,Governor,Regular,5/15/18,Lost,None,None,18.83,No,,,No,,,,,,,,,,,,0,1
Paul Mango,PA,Governor of Pennsylvania,Governor,Regular,5/15/18,Lost,None,None,36.87,No,,,No,,,,,,,,,,,,0,1
John Joyce,PA,U.S. House Pennsylvania District 13,Representative,Regular,5/15/18,Advanced,None,On the Ballot,22.02,Yes,,,,,,,,No,,No,,Yes,,,1,2
Art Halvorson,PA,U.S. House Pennsylvania District 13,Representative,Regular,5/15/18,Lost,None,None,15.33,No,,,,,,,,,,No,,No,,,0,2
John Eichelberger,PA,U.S. House Pennsylvania District 13,Representative,Regular,5/15/18,Lost,None,None,19.77,No,,,,,,,,,,No,,No,,,0,2
Stephen Bloom,PA,U.S. House Pennsylvania District 13,Representative,Regular,5/15/18,Lost,None,None,18.16,No,,,,,,,,,,Yes,,No,,,1,1
Travis Schooley,PA,U.S. House Pennsylvania District 13,Representative,Regular,5/15/18,Lost,None,None,4.51,No,,,,,,,,,,No,,No,,,0,2
Doug Mastriano,PA,U.S. House Pennsylvania District 13,Representative,Regular,5/15/18,Lost,None,None,15.6,No,,,,,,,,,,No,,No,,,0,2
Bernard Washabaugh II,PA,U.S. House Pennsylvania District 13,Representative,Regular,5/15/18,Lost,None,None,2.84,No,,,,,,,,,,No,,No,,,0,2
Benjamin Hornberger,PA,U.S. House Pennsylvania District 13,Representative,Regular,5/15/18,Lost,None,None,1.77,No,,,,,,,,,,No,,No,,,0,2
Guy Reschenthaler,PA,U.S. House Pennsylvania District 14,Representative,Regular,5/15/18,Advanced,None,On the Ballot,55.19,Yes,,,,,,,,,,No,,Yes,,,1,1
Rick Saccone,PA,U.S. House Pennsylvania District 14,Representative,Regular,5/15/18,Lost,None,None,44.81,No,,,,,,,,Yes,,Yes,,No,,,2,1
David Torres,PA,U.S. House Pennsylvania District 2,Representative,Regular,5/15/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,,0,0
Bryan Leib,PA,U.S. House Pennsylvania District 3,Representative,Regular,5/15/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,,0,0
Dan David,PA,U.S. House Pennsylvania District 4,Representative,Regular,5/15/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,,0,0
Pearl Kim,PA,U.S. House Pennsylvania District 5,Representative,Regular,5/15/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,,0,0
Greg McCauley,PA,U.S. House Pennsylvania District 6,Representative,Regular,5/15/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,,0,0
Marty Nothstein,PA,U.S. House Pennsylvania District 7,Representative,Regular,5/15/18,Advanced,None,On the Ballot,50.49,Yes,Yes,,,,,,,,,,,,,,1,0
Dean Browning,PA,U.S. House Pennsylvania District 7,Representative,Regular,5/15/18,Lost,None,None,49.51,No,No,,,,,,,,,,,,,,0,1
John Chrin,PA,U.S. House Pennsylvania District 8,Representative,Regular,5/15/18,Advanced,None,On the Ballot,48.47,Yes,Yes,,,,,,,,,,,,,,1,0
Robert Kuniegel,PA,U.S. House Pennsylvania District 8,Representative,Regular,5/15/18,Lost,None,None,16.66,No,No,,,,,,,,,,,,,,0,1
Joe Peters,PA,U.S. House Pennsylvania District 8,Representative,Regular,5/15/18,Lost,None,None,34.87,No,No,,,,,,,,,,,,,,0,1
Dan Meuser,PA,U.S. House Pennsylvania District 9,Representative,Regular,5/15/18,Advanced,None,On the Ballot,52.94,Yes,Yes,,,,,,,,,,,,,Yes,2,0
Scott Uehlinger,PA,U.S. House Pennsylvania District 9,Representative,Regular,5/15/18,Lost,None,None,23.1,No,No,,,,,,,,,,,,,No,0,2
George Halcovage,PA,U.S. House Pennsylvania District 9,Representative,Regular,5/15/18,Lost,None,None,23.97,No,No,,,,,,,,,,,,,No,0,2
Lou Barletta,PA,U.S. Senate Pennsylvania,Senator,Regular,5/15/18,Advanced,None,On the Ballot,63.03,Yes,,,,,,,,,Yes,,,,,,1,0
Jim Christiana,PA,U.S. Senate Pennsylvania,Senator,Regular,5/15/18,Lost,None,None,36.97,No,,,,,,,,,No,,,,,,0,1
Giovanni Feroce,RI,Governor of Rhode Island,Governor,Regular,9/12/18,Lost,None,None,3.5,No,,,,,,,No,,,,,,,,0,1
Allan Fung,RI,Governor of Rhode Island,Governor,Regular,9/12/18,Advanced,None,On the Ballot,56.4,Yes,,,,,,,No,,,,,,,,0,1
Patricia Morgan,RI,Governor of Rhode Island,Governor,Regular,9/12/18,Lost,None,None,40.1,No,,,,,,,Yes,,,,,,,,1,0
Frederick Wysocki,RI,U.S. House Rhode Island District 1,Representative,Regular,9/12/18,Lost,None,None,21.6,No,,,,,,,,,,,,,,,0,0
Patrick Donovan,RI,U.S. House Rhode Island District 1,Representative,Regular,9/12/18,Advanced,None,On the Ballot,78.4,Yes,,,,,,,,,,,,,,,0,0
Salvatore Caiozzo,RI,U.S. House Rhode Island District 2,Representative,Regular,9/12/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,,0,0
Roque De La Fuente,RI,U.S. Senate Rhode Island,Senator,Regular,9/12/18,Lost,None,None,12.3,No,,,,,,,,,,,,,,,0,0
Robert Flanders Jr.,RI,U.S. Senate Rhode Island,Senator,Regular,9/12/18,Advanced,None,On the Ballot,87.7,Yes,,,,,,,,,,,,,,,0,0
Lee Bright,SC,U.S. House South Carolina District 4,Representative,Regular,6/12/18,Advanced,Lost,None,24.95,No,,,,,,,,No,,,,,,,0,1
William Timmons,SC,U.S. House South Carolina District 4,Representative,Regular,6/12/18,Advanced,Advanced,On the Ballot,19.21,Yes,,,,,,,,No,,,,,,,0,1
Dan Hamilton,SC,U.S. House South Carolina District 4,Representative,Regular,6/12/18,Lost,None,None,18.62,No,,,,,,,,No,,,,,,,0,1
Stephen Brown,SC,U.S. House South Carolina District 4,Representative,Regular,6/12/18,Lost,None,None,7.57,No,,,,,,,,No,,,,,,,0,1
Mark Burns,SC,U.S. House South Carolina District 4,Representative,Regular,6/12/18,Lost,None,None,2.48,No,,,,,,,,No,,,,,,,0,1
Barry Bell,SC,U.S. House South Carolina District 4,Representative,Regular,6/12/18,Lost,None,None,0.3,No,,,,,,,,No,,,,,,,0,1
Josh Kimbrell,SC,U.S. House South Carolina District 4,Representative,Regular,6/12/18,Lost,None,None,11.13,No,,,,,,,,Yes,,,,,,,1,0
James Epley,SC,U.S. House South Carolina District 4,Representative,Regular,6/12/18,Lost,None,None,8.03,No,,,,,,,,No,,,,,,,0,1
Shannon Pierce,SC,U.S. House South Carolina District 4,Representative,Regular,6/12/18,Lost,None,None,3.64,No,,,,,,,,No,,,,,,,0,1
Claude Schmid,SC,U.S. House South Carolina District 4,Representative,Regular,6/12/18,Lost,None,None,2.11,No,,,,,,,,No,,,,,,,0,1
Dan Albert,SC,U.S. House South Carolina District 4,Representative,Regular,6/12/18,Lost,None,None,0.76,No,,,,,,,,No,,,,,,,0,1
John Marshall Mosser,SC,U.S. House South Carolina District 4,Representative,Regular,6/12/18,Lost,None,None,0.68,No,,,,,,,,No,,,,,,,0,1
Justin David Sanders,SC,U.S. House South Carolina District 4,Representative,Regular,6/12/18,Lost,None,None,0.53,No,,,,,,,,No,,,,,,,0,1
Gerhard Gressmann,SC,U.S. House South Carolina District 6,Representative,Regular,6/12/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,,0,0
Kristi L. Noem,SD,Governor of South Dakota,Governor,Regular,6/5/18,Advanced,None,On the Ballot,56.03,Yes,,,,,,,Yes,,,,,,,,1,0
Marty J. Jackley,SD,Governor of South Dakota,Governor,Regular,6/5/18,Lost,None,None,43.96,No,,,,,,,No,,,,,,,,0,1
Dusty Johnson,SD,U.S. House South Dakota At-large District,Representative,Regular,6/5/18,Advanced,None,On the Ballot,46.81,Yes,Yes,,,,,,No,,Yes,,,No,,,2,2
Neal Tapio,SD,U.S. House South Dakota At-large District,Representative,Regular,6/5/18,Lost,None,None,23.87,No,No,,,,,,No,,No,,,No,,,0,4
Shantel Krebs,SD,U.S. House South Dakota At-large District,Representative,Regular,6/5/18,Lost,None,None,29.34,No,Yes,,,,,,Yes,,No,,,Yes,,No,3,2
Diane Black,TN,Governor of Tennessee,Governor,Regular,8/2/18,Lost,None,None,23.0,No,,,,,Yes,Yes,Yes,,,,,,,,3,0
Randy Boyd,TN,Governor of Tennessee,Governor,Regular,8/2/18,Lost,None,None,24.4,No,,,,,No,No,No,,,,,,,,0,3
Beth Harwell,TN,Governor of Tennessee,Governor,Regular,8/2/18,Lost,None,None,15.3,No,,,,,No,No,No,,,,,,,,0,3
Bill Lee,TN,Governor of Tennessee,Governor,Regular,8/2/18,Advanced,None,On the Ballot,36.8,Yes,,,,,No,No,No,,,,,,,,0,3
Basil Marceaux,TN,Governor of Tennessee,Governor,Regular,8/2/18,Lost,None,None,0.2,No,,,,,No,No,No,,,,,,,,0,3
Kay White,TN,Governor of Tennessee,Governor,Regular,8/2/18,Lost,None,None,0.4,No,,,,,No,No,No,,,,,,,,0,3
Jason Emert,TN,U.S. House Tennessee District 2,Representative,Regular,8/2/18,Lost,None,None,2.3,No,,,,,,,,,No,,,No,,,0,2
Jimmy Matlock,TN,U.S. House Tennessee District 2,Representative,Regular,8/2/18,Lost,None,None,36.1,No,,,,,,,,,Yes,,,No,,,1,1
Tim Burchett,TN,U.S. House Tennessee District 2,Representative,Regular,8/2/18,Advanced,None,On the Ballot,48.2,Yes,,,,,,,,,No,,,No,,,0,2
Vito Sagliano,TN,U.S. House Tennessee District 2,Representative,Regular,8/2/18,Lost,None,None,0.8,No,,,,,,,,,No,,,No,,,0,2
Hank Hamblin,TN,U.S. House Tennessee District 2,Representative,Regular,8/2/18,Lost,None,None,0.9,No,,,,,,,,,No,,,No,,,0,2
Ashley Nickloes,TN,U.S. House Tennessee District 2,Representative,Regular,8/2/18,Lost,None,None,11.0,No,,,,,,,,,No,,,Yes,,,1,1
C. David Stansberry,TN,U.S. House Tennessee District 2,Representative,Regular,8/2/18,Lost,None,None,0.7,No,,,,,,,,,No,,,No,,,0,2
Glen Dean,TN,U.S. House Tennessee District 5,Representative,Regular,8/2/18,Lost,None,None,44.1,No,,,,,,,,,,,,,,,0,0
Jody Ball,TN,U.S. House Tennessee District 5,Representative,Regular,8/2/18,Advanced,None,On the Ballot,55.9,Yes,,,,,,,,,,,,,,,0,0
Judd Matheny,TN,U.S. House Tennessee District 6,Representative,Regular,8/2/18,Lost,None,None,15.9,No,,,,,,No,,,,Yes,,,,,1,1
Robert Ewing Corlew,TN,U.S. House Tennessee District 6,Representative,Regular,8/2/18,Lost,None,None,31.1,No,,,,,,Yes,,,,No,,,,,1,1
John Rose,TN,U.S. House Tennessee District 6,Representative,Regular,8/2/18,Advanced,None,On the Ballot,41.3,Yes,,,,,,No,,,,No,,,,,0,2
Christopher Monday,TN,U.S. House Tennessee District 6,Representative,Regular,8/2/18,Lost,None,None,2.8,No,,,,,,No,,,,No,,,,,0,2
"LaVern ""U-Turn LaVern"" Vivio",TN,U.S. House Tennessee District 6,Representative,Regular,8/2/18,Lost,None,None,8.8,No,,,,,,No,,,,No,,,,,0,2
Mark Green,TN,U.S. House Tennessee District 7,Representative,Regular,8/2/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,Yes,,Yes,,,,,2,0
Charlotte Bergmann,TN,U.S. House Tennessee District 9,Representative,Regular,8/2/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,,0,0
Marsha Blackburn,TN,U.S. Senate Tennessee,Senator,Regular,8/2/18,Advanced,None,On the Ballot,84.5,Yes,,Yes,Yes,Yes,,,Yes,Yes,Yes,,,,,,6,0
Aaron Pettigrew,TN,U.S. Senate Tennessee,Senator,Regular,8/2/18,Lost,None,None,15.5,No,,No,No,No,,,No,No,No,,,,,,0,6
Tim Westley,TX,U.S. House Texas District 15,Representative,Regular,3/6/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,,0,0
Rick Seeberger,TX,U.S. House Texas District 16,Representative,Regular,3/6/18,Advanced,None,On the Ballot,69.35,Yes,,,,,,,,,,,,,,,0,0
Alia Garcia-Ureste,TX,U.S. House Texas District 16,Representative,Regular,3/6/18,Lost,None,None,30.65,No,,,,,,,,,,,,,,,0,0
Ava Pate,TX,U.S. House Texas District 18,Representative,Regular,3/6/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,,0,0
Kevin Roberts,TX,U.S. House Texas District 2,Representative,Regular,3/6/18,Advanced,Lost,None,33.03,No,,,,,Yes,,,,,,No,,,,1,1
Daniel Crenshaw,TX,U.S. House Texas District 2,Representative,Regular,3/6/18,Advanced,Advanced,On the Ballot,27.42,Yes,,,,,No,,,,,,Yes,,,,1,1
David Balat,TX,U.S. House Texas District 2,Representative,Regular,3/6/18,Lost,None,None,0.75,No,,,,,No,,No,,,,No,,,,0,3
Malcolm Whittaker,TX,U.S. House Texas District 2,Representative,Regular,3/6/18,Lost,None,None,0.7,No,,,,,No,,No,,,,No,,,,0,3
Rick Walker,TX,U.S. House Texas District 2,Representative,Regular,3/6/18,Lost,None,None,7.18,No,,,,,No,,No,,,,No,,,,0,3
Kathaleen Wall,TX,U.S. House Texas District 2,Representative,Regular,3/6/18,Lost,None,None,27.08,No,,,,,No,,Yes,,,,No,,,,1,2
Justin Lurie,TX,U.S. House Texas District 2,Representative,Regular,3/6/18,Lost,None,None,0.92,No,,,,,No,,No,,,,No,,,,0,3
Jon Spiers,TX,U.S. House Texas District 2,Representative,Regular,3/6/18,Lost,None,None,0.9,No,,,,,No,,No,,,,No,,,,0,3
Jonny Havens,TX,U.S. House Texas District 2,Representative,Regular,3/6/18,Lost,None,None,2.02,No,,,,,No,,No,,,,No,,,,0,3
Matt McCall,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Advanced,Lost,None,16.93,No,,,,,,No,,No,,No,No,,,No,0,5
Chip Roy,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Advanced,Advanced,On the Ballot,27.06,Yes,,,,,,Yes,,Yes,,Yes,Yes,,,No,4,1
Francisco Canseco,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Lost,None,None,3.47,No,,,,,,No,,No,,No,No,,,No,0,5
Jason Isaac,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Lost,None,None,10.04,No,,,,,,No,,No,,No,No,,,No,0,5
Susan Narvaiz,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Lost,None,None,3.79,No,,,,,,No,,No,,No,No,,,No,0,5
Eric Burkhart,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Lost,None,None,1.01,No,,,,,,No,,No,,No,No,,,No,0,5
Autry Pruitt,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Lost,None,None,0.63,No,,,,,,No,,No,,No,No,,,No,0,5
Robert Stovall,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Lost,None,None,4.76,No,,,,,,No,,No,,No,No,,,No,0,5
Ivan Andarza,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Lost,None,None,0.13,No,,,,,,No,,No,,No,No,,,No,0,5
Ryan Krause,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Lost,None,None,3.2,No,,,,,,No,,No,,No,No,,,No,0,5
Jenifer Sarver,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Lost,None,None,5.61,No,,,,,,No,,No,,No,No,,,No,0,5
Mauro Garza,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Lost,None,None,0.92,No,,,,,,No,,No,,No,No,,,No,0,5
Foster Hagen,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Lost,None,None,0.55,No,,,,,,No,,No,,No,No,,,No,0,5
William Negley,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Lost,None,None,15.55,No,,,,,,No,,No,,No,No,,,Yes,1,4
Al Poteet,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Lost,None,None,1.81,No,,,,,,No,,No,,No,No,,,No,0,5
Samuel Temple,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Lost,None,None,1.42,No,,,,,,No,,No,,No,No,,,No,0,5
Peggy Wardlaw,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Lost,None,None,1.79,No,,,,,,No,,No,,No,No,,,No,0,5
Anthony White,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Lost,None,None,1.33,No,,,,,,No,,No,,No,No,,,No,0,5
Michael Cloud,TX,U.S. House Texas District 27,Representative,Regular,3/6/18,Advanced,Advanced,On the Ballot,33.83,Yes,,,,,,,,Yes,No,Yes,Yes,,,,3,1
Bech Bruun,TX,U.S. House Texas District 27,Representative,Regular,3/6/18,Advanced,Lost,None,36.09,No,,,,,,,,No,Yes,No,No,,,,1,3
Chris Mapp,TX,U.S. House Texas District 27,Representative,Regular,3/6/18,Lost,None,None,12.14,No,,,,,,,,No,No,No,No,,,,0,4
John Grunwald,TX,U.S. House Texas District 27,Representative,Regular,3/6/18,Lost,None,None,6.86,No,,,,,,,,No,No,No,No,,,,0,4
Eddie Gassman,TX,U.S. House Texas District 27,Representative,Regular,3/6/18,Lost,None,None,2.8,No,,,,,,,,No,No,No,No,,,,0,4
Jerry Hall,TX,U.S. House Texas District 27,Representative,Regular,3/6/18,Lost,None,None,8.27,No,,,,,,,,No,No,No,No,,,,0,4
Phillip Aronoff,TX,U.S. House Texas District 29,Representative,Regular,3/6/18,Advanced,Advanced,On the Ballot,38.6,Yes,,,,,,,,,,,,,,,0,0
Carmen Maria Montiel,TX,U.S. House Texas District 29,Representative,Regular,3/6/18,Advanced,Lost,None,23.58,No,,,,,,,,,,,,,,,0,0
Robert Schafranek,TX,U.S. House Texas District 29,Representative,Regular,3/6/18,Lost,None,None,16.73,No,,,,,,,,,,,,,,,0,0
Jaimy Blanco,TX,U.S. House Texas District 29,Representative,Regular,3/6/18,Lost,None,None,21.08,No,,,,,,,,,,,,,,,0,0
Van Taylor,TX,U.S. House Texas District 3,Representative,Regular,3/6/18,Advanced,None,On the Ballot,84.68,Yes,,,,,,,,Yes,,,,,,,1,0
David Niederkorn,TX,U.S. House Texas District 3,Representative,Regular,3/6/18,Lost,None,None,9.39,No,,,,,,,,No,,,,,,,0,1
Alex Donkervoet,TX,U.S. House Texas District 3,Representative,Regular,3/6/18,Lost,None,None,5.93,No,,,,,,,,No,,,,,,,0,1
Willie Billups,TX,U.S. House Texas District 33,Representative,Regular,3/6/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,,0,0
Rey Gonzalez,TX,U.S. House Texas District 34,Representative,Regular,3/6/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,,0,0
David Smalling,TX,U.S. House Texas District 35,Representative,Regular,3/6/18,Advanced,None,On the Ballot,53.3,Yes,,,,,,,,,,,,,,,0,0
SK Alexander,TX,U.S. House Texas District 35,Representative,Regular,3/6/18,Lost,None,None,46.7,No,,,,,,,,,,,,,,,0,0
Lance Gooden,TX,U.S. House Texas District 5,Representative,Regular,3/6/18,Advanced,Advanced,On the Ballot,29.97,Yes,,,,,,No,No,No,No,,No,,,,0,5
Bunni Pounds,TX,U.S. House Texas District 5,Representative,Regular,3/6/18,Advanced,Lost,None,21.95,No,,,,,,Yes,Yes,Yes,Yes,,Yes,,,,5,0
Charles Lingerfelt,TX,U.S. House Texas District 5,Representative,Regular,3/6/18,Lost,None,None,1.75,No,,,,,,No,No,No,No,,No,,,,0,5
Kenneth Sheets,TX,U.S. House Texas District 5,Representative,Regular,3/6/18,Lost,None,None,11.99,No,,,,,,No,No,No,No,,No,,,,0,5
Sam Deen,TX,U.S. House Texas District 5,Representative,Regular,3/6/18,Lost,None,None,17.16,No,,,,,,No,No,No,No,,No,,,,0,5
Danny Campbell,TX,U.S. House Texas District 5,Representative,Regular,3/6/18,Lost,None,None,3.02,No,,,,,,No,No,No,No,,No,,,,0,5
David Williams,TX,U.S. House Texas District 5,Representative,Regular,3/6/18,Lost,None,None,2.73,No,,,,,,No,No,No,No,,No,,,,0,5
Jason Wright,TX,U.S. House Texas District 5,Representative,Regular,3/6/18,Lost,None,None,11.42,No,,,,,,No,No,No,No,,No,,,,0,5
Jake Ellzey,TX,U.S. House Texas District 6,Representative,Regular,3/6/18,Advanced,Lost,None,21.76,No,,,,,,No,,No,,,No,,,,0,3
Ronald Wright,TX,U.S. House Texas District 6,Representative,Regular,3/6/18,Advanced,Advanced,On the Ballot,45.15,Yes,,,,,,Yes,,Yes,,,Yes,,,,3,0
Ken Cope,TX,U.S. House Texas District 6,Representative,Regular,3/6/18,Lost,None,None,7.7,No,,,,,,No,,No,,,No,,,,0,3
Deborah Gagliardi,TX,U.S. House Texas District 6,Representative,Regular,3/6/18,Lost,None,None,3.65,No,,,,,,No,,No,,,No,,,,0,3
Shawn Dandridge,TX,U.S. House Texas District 6,Representative,Regular,3/6/18,Lost,None,None,1.13,No,,,,,,No,,No,,,No,,,,0,3
Mark Mitchell,TX,U.S. House Texas District 6,Representative,Regular,3/6/18,Lost,None,None,4.68,No,,,,,,No,,No,,,No,,,,0,3
Troy Ratterree,TX,U.S. House Texas District 6,Representative,Regular,3/6/18,Lost,None,None,4.04,No,,,,,,No,,No,,,No,,,,0,3
Mel Hassell,TX,U.S. House Texas District 6,Representative,Regular,3/6/18,Lost,None,None,0.58,No,,,,,,No,,No,,,No,,,,0,3
Kevin Harrison,TX,U.S. House Texas District 6,Representative,Regular,3/6/18,Lost,None,None,3.85,No,,,,,,No,,No,,,No,,,,0,3
Thomas Dillingham,TX,U.S. House Texas District 6,Representative,Regular,3/6/18,Lost,None,None,1.18,No,,,,,,No,,No,,,No,,,,0,3
Shannon Dubberly,TX,U.S. House Texas District 6,Representative,Regular,3/6/18,Lost,None,None,6.28,No,,,,,,No,,No,,,No,,,,0,3
Mitt Romney,UT,U.S. Senate Utah,Senator,Regular,6/26/18,Advanced,None,On the Ballot,71.27,Yes,,Yes,,,,,,,,,,,,,1,0
Mike Kennedy,UT,U.S. Senate Utah,Senator,Regular,6/26/18,Lost,None,None,28.73,No,,No,,,,,,,,,,,,,0,1
Brooke Paige,VT,U.S. House Vermont At-large District,Representative,Regular,8/14/18,Advanced,None,On the Ballot,63.3,Yes,,,,,,,,,,,,,,,0,0
Anya Tynio,VT,U.S. House Vermont At-large District,Representative,Regular,8/14/18,Lost,None,None,36.7,No,,,,,,,,,,,,,,,0,0
Roque De La Fuente,VT,U.S. Senate Vermont,Senator,Regular,8/14/18,Lost,None,None,4.2,No,,,,,,,,,,,,,,,0,0
Brooke Paige,VT,U.S. Senate Vermont,Senator,Regular,8/14/18,Advanced,None,On the Ballot,39.6,Yes,,,,,,,,,,,,,,,0,0
Jasdeep Pannu,VT,U.S. Senate Vermont,Senator,Regular,8/14/18,Lost,None,None,18.3,No,,,,,,,,,,,,,,,0,0
Lawrence Zupan,VT,U.S. Senate Vermont,Senator,Regular,8/14/18,Lost,None,None,4.2,No,,,,,,,,,,,,,,,0,0
Jeff Dove,VA,U.S. House Virginia District 11,Representative,Regular,6/12/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,,0,0
Ryan McAdams,VA,U.S. House Virginia District 4,Representative,Regular,6/12/18,Advanced,None,On the Ballot,72.57,Yes,,,,,,,,,,,,,,,0,0
Shion Fenty,VA,U.S. House Virginia District 4,Representative,Regular,6/12/18,Lost,None,None,27.43,No,,,,,,,,,,,,,,,0,0
Denver Riggleman,VA,U.S. House Virginia District 5,Representative,Regular,6/12/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,Yes,,,,,,,1,0
Ben Cline,VA,U.S. House Virginia District 6,Representative,Regular,6/12/18,Advanced,None,On the Ballot,100.0,Yes,,,,,Yes,,,,,,,,,,1,0
Thomas Oh,VA,U.S. House Virginia District 8,Representative,Regular,6/12/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,,0,0
Corey Stewart,VA,U.S. Senate Virginia,Senator,Regular,6/12/18,Advanced,None,On the Ballot,44.87,Yes,,,,,,,,,,,,,,,0,0
E.W. Jackson,VA,U.S. Senate Virginia,Senator,Regular,6/12/18,Lost,None,None,11.99,No,,,,,,,,,,,,,,,0,0
Nick Freitas,VA,U.S. Senate Virginia,Senator,Regular,6/12/18,Lost,None,None,43.14,No,,,,,,,,,,,,,,,0,0
Jeffrey Beeler,WA,U.S. House Washington District 1,Representative,Regular,8/7/18,Advanced,None,On the Ballot,69.19,Yes,,,,,,,,,,,,,,,0,0
Scott Stafne,WA,U.S. House Washington District 1,Representative,Regular,8/7/18,Lost,None,None,30.81,No,,,,,,,,,,,,,,,0,0
Joseph Brumbles,WA,U.S. House Washington District 10,Representative,Regular,8/7/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,,0,0
Douglas Dightman,WA,U.S. House Washington District 6,Representative,Regular,8/7/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,,0,0
Craig Keller,WA,U.S. House Washington District 7,Representative,Regular,8/7/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,,0,0
Dino Rossi,WA,U.S. House Washington District 8,Representative,Regular,8/7/18,Advanced,None,On the Ballot,92.09,Yes,Yes,,,,,,,Yes,Yes,,Yes,Yes,,,5,0
Jack Hughes-Hageman,WA,U.S. House Washington District 8,Representative,Regular,8/7/18,Lost,None,None,5.34,No,No,,,,,,,No,No,,No,No,,,0,5
Gordon Allen Pross,WA,U.S. House Washington District 8,Representative,Regular,8/7/18,Lost,None,None,2.57,No,No,,,,,,,No,No,,No,No,,,0,5
Doug Basler,WA,U.S. House Washington District 9,Representative, ,8/7/18,Lost,None,None,100.0,No,,,,,,,,,,,,,,,0,0
Joey Gibson,WA,U.S. Senate Washington,Senator,Regular,8/7/18,Lost,None,None,6.37,No,,,,,,No,,,,,,,,,0,1
Matthew Heines,WA,U.S. Senate Washington,Senator,Regular,8/7/18,Lost,None,None,1.38,No,,,,,,No,,,,,,,,,0,1
Roque De La Fuente,WA,U.S. Senate Washington,Senator,Regular,8/7/18,Lost,None,None,0.83,No,,,,,,No,,,,,,,,,0,1
Dave Bryant,WA,U.S. Senate Washington,Senator,Regular,8/7/18,Lost,None,None,5.54,No,,,,,,No,,,,,,,,,0,1
