candidate,twitter_handle,twitter_handle2,state,district,office_type,race_type,race_primary_election_date,primary_status,primary_runoff_status,general_status,partisan_lean,primary_pctg,won_primary,race,veteran,lgbtq,elected_official,self_funder,stem,obama_alum,dem_party_support,emily_endorsed,gun_sense_candidate,biden_endorsed,warren_endorsed,sanders_endorsed,our_revolution_endorsed,justice_dems_endorsed,pccc_endorsed,indivisible_endorsed,wfp_endorsed,votevets_endorsed,no_labels_support,count_negative,count_neutral,count_positive,sentiment,has_twitter,num_endorsements
Patrick Malloy,,,CA,U.S. House California District 50,Representative,Regular,6/5/18,Lost,None,None,-19.48,16.129998999999998,No,White,No,No,No,No,No,No,,,,,,,,No,No,No,,,,,,,,False,0
Marge Doyle,Marge4Congress,,CA,U.S. House California District 8,Representative,Regular,6/5/18,Lost,None,,-17.33,59.610001000000004,,White,No,Yes,No,No,Yes,No,,,,,,,,,,,,,,305.0,183.0,966.0,2.909215955983494,True,0
Rita Ramirez,,,CA,U.S. House California District 8,Representative,Regular,6/5/18,Lost,None,,-17.33,27.67,,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,False,0
Ronald O'Donnell,,,CA,U.S. House California District 8,Representative,Regular,6/5/18,Lost,None,,-17.33,12.71,,White,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,False,0
Cary Kennedy,Kennedy4CO,,CO,Governor of Colorado,Governor,Regular,6/26/18,Lost,None,None,2.49,24.719998999999998,No,White,No,No,Yes,No,No,No,,Yes,Yes,,,,,,,,,,,5.0,5.0,11.0,2.571428571428572,True,2
Donna Lynne,DonnaLynneCO,,CO,Governor of Colorado,Governor,Regular,6/26/18,Lost,None,None,2.49,7.280000200000001,No,White,No,No,Yes,No,No,No,,No,No,,,,,,,,,,,34.0,39.0,221.0,3.2721088435374153,True,0
Jared Polis,jaredpolis,,CO,Governor of Colorado,Governor,Regular,6/26/18,Advanced,None,On the Ballot,2.49,44.43,Yes,White,No,Yes,Yes,Yes,No,No,,No,No,,,,,,,,,,,82.0,88.0,265.0,2.8413793103448275,True,0
Michael Johnston,MikeJohnstonCO,,CO,Governor of Colorado,Governor,Regular,6/26/18,Lost,None,None,2.49,23.57,No,White,No,No,Yes,No,No,Yes,,No,No,,,,,,,,,,,83.0,116.0,527.0,3.2231404958677685,True,0
Joe Neguse,JoeNeguse,,CO,U.S. House Colorado District 2,Representative,Regular,6/26/18,Advanced,None,On the Ballot,18.040001,65.82,Yes,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,,2.0,3.0,32.0,3.6216216216216215,True,0
Mark Williams,MarkforColorado,,CO,U.S. House Colorado District 2,Representative,Regular,6/26/18,Lost,None,None,18.040001,34.18,No,Nonwhite,Yes,No,No,No,No,No,,,,,,,,,,,,,,34.0,27.0,63.0,2.467741935483871,True,0
Arn Menconi,ArnMenconi,,CO,U.S. House Colorado District 3,Representative,Regular,6/26/18,Lost,None,None,-13.03,8.220000299999999,No,White,No,No,No,No,No,No,,No,,,,,,,,,,,,885.0,634.0,717.0,1.849731663685152,True,0
