candidate,twitter_handle,state,district,office_type,race_type,race_primary_election_date,primary_status,primary_runoff_status,general_status,primary_pctg,won_primary,rep_party_support,trump_endorsed,bannon_endorsed,great_america_endorsed,nra_endorsed,right_to_life_endorsed,susan_b_anthony_endorsed,club_for_growth_endorsed,koch_support,house_freedom_support,tea_party_endorsed,main_street_endorsed,chamber_endorsed,no_labels_support
355,,33,178,1,1,3,Advanced,None,On the Ballot,48.47,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
608,,33,178,1,1,3,Lost,None,None,16.66,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
347,,33,178,1,1,3,Lost,None,None,34.87,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
161,,33,179,1,1,3,Advanced,None,On the Ballot,52.94,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1
649,,33,179,1,1,3,Lost,None,None,23.1,0,0,2,2,2,2,2,2,2,2,2,2,2,2,0
255,,33,179,1,1,3,Lost,None,None,23.97,0,0,2,2,2,2,2,2,2,2,2,2,2,2,0
451,,33,238,2,1,3,Advanced,None,On the Ballot,63.03,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2
334,,33,238,2,1,3,Lost,None,None,36.97,0,2,2,2,2,2,2,2,2,0,2,2,2,2,2
263,,34,18,0,1,16,Lost,None,None,3.5,0,2,2,2,2,2,2,0,2,2,2,2,2,2,2
12,,34,18,0,1,16,Advanced,None,On the Ballot,56.4,1,2,2,2,2,2,2,0,2,2,2,2,2,2,2
551,,34,18,0,1,16,Lost,None,None,40.1,0,2,2,2,2,2,2,1,2,2,2,2,2,2,2
245,,34,180,1,1,16,Lost,None,None,21.6,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
555,,34,180,1,1,16,Advanced,None,On the Ballot,78.4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
637,,34,181,1,1,16,Advanced,None,On the Ballot,100.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
623,,34,239,2,1,16,Lost,None,None,12.3,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
606,,34,239,2,1,16,Advanced,None,On the Ballot,87.7,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
444,,35,182,1,1,6,Advanced,Lost,None,24.95,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2
749,,35,182,1,1,6,Advanced,Advanced,On the Ballot,19.21,1,2,2,2,2,2,2,2,0,2,2,2,2,2,2
159,,35,182,1,1,6,Lost,None,None,18.62,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2
671,,35,182,1,1,6,Lost,None,None,7.57,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2
467,,35,182,1,1,6,Lost,None,None,2.48,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2
41,,35,182,1,1,6,Lost,None,None,0.3,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2
392,,35,182,1,1,6,Lost,None,None,11.13,0,2,2,2,2,2,2,2,1,2,2,2,2,2,2
297,,35,182,1,1,6,Lost,None,None,8.03,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2
657,,35,182,1,1,6,Lost,None,None,3.64,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2
137,,35,182,1,1,6,Lost,None,None,2.11,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2
