candidate,state,district,office_type,race_type,race_primary,primary_status,primary_runoff_status,general_status,partisan_lean,primary_pctg,won_primary,race,veteran,lgbtq,elected_official,self_funder,stem,obama_alum,dem_party_support,emily_endorsed,guns_sense_candidate,biden_endorsed,warren_endorsed,sanders_endorsed,our_revolution_endorsed,justice_dems_endorsed,pccc_endorsed,indivisible_endorsed,wfp_endorsed,votevets_endorsed,no_labels_support,num_endorsements,num_non_endorsements
Karen McCormick,4,48,1,0,5,Advanced,None,On the Ballot,-24.68,64.629997,1,1,0,0,0,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
Stephany Rose Spaulding,4,49,1,0,5,Advanced,None,On the Ballot,-25.73,100.0,1,0,0,0,0,0,0,0,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1
Jason Crow,4,50,1,0,5,Advanced,None,On the Ballot,5.4200000999999975,65.940002,1,1,1,0,0,0,0,0,1,2,2,2,2,2,0,2,2,2,2,1,2,2,2
Levi Tillemann,4,50,1,0,5,Lost,None,None,5.4200000999999975,34.060001,0,1,0,0,0,0,1,1,0,2,2,2,2,2,1,2,2,2,2,0,2,2,2
Stacey Abrams,5,4,0,0,4,Advanced,None,On the Ballot,-8.3400002,76.440002,1,0,0,0,1,0,0,0,2,1,2,2,2,1,1,2,1,2,1,2,2,5,1
Stacey Evans,5,4,0,0,4,Lost,None,None,-8.3400002,23.559998999999998,0,1,0,0,0,1,0,0,2,0,2,2,2,0,0,2,0,2,0,2,2,0,6
Barbara Seidman,5,51,1,0,4,Lost,None,None,-17.379998999999998,32.459998999999996,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,0,0,0,2,2,2,0,4
Lisa Ring,5,51,1,0,4,Advanced,None,On the Ballot,-17.379998999999998,67.540001,1,1,0,0,0,0,0,0,2,2,2,2,2,2,1,1,0,1,2,2,2,3,2
Chalis Montgomery,5,52,1,0,4,Lost,None,None,-28.209999,26.459999,0,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
Richard Dien Winfield,5,52,1,0,4,Lost,None,None,-28.209999,23.33,0,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
Tabitha Johnson-Green,5,52,1,0,4,Advanced,None,On the Ballot,-28.209999,50.200001,1,1,0,0,0,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
Flynn Broady Jr.,5,53,1,0,4,Advanced,None,On the Ballot,-30.129998999999998,100.0,1,0,1,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
Francys Johnson,5,54,1,0,4,Advanced,None,On the Ballot,-17.629998999999994,52.860001000000004,1,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
Robert Ingham,5,54,1,0,4,Lost,None,None,-17.629998999999994,31.15,0,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
Trent Nesmith,5,54,1,0,4,Lost,None,None,-17.629998999999994,15.99,0,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
Steven Foster,5,55,1,0,4,Advanced,None,On the Ballot,-54.18,100.0,1,1,0,0,0,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
Chuck Enderlin,5,56,1,0,4,Advanced,None,On the Ballot,-34.380001,59.869999,1,1,1,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
Rusty Oliver,5,56,1,0,4,Lost,None,None,-34.380001,40.130001,0,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
Bobby Kaple,5,57,1,0,4,Lost,None,None,-9.4799995,26.25,0,1,0,0,0,0,0,0,2,0,0,2,2,2,2,2,2,2,2,2,2,0,3
Kevin Abel,5,57,1,0,4,Advanced,Lost,None,-9.4799995,30.540001,0,1,0,0,0,0,1,0,2,0,0,2,2,2,2,2,2,2,2,2,2,0,3
Lucy McBath,5,57,1,0,4,Advanced,Advanced,On the Ballot,-9.4799995,36.27,1,0,0,0,0,0,1,0,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1
Steven Knight Griffin,5,57,1,0,4,Lost,None,None,-9.4799995,6.9499998,0,1,0,0,0,0,0,0,2,0,0,2,2,2,2,2,2,2,2,2,2,0,3
Carolyn Bourdeaux,5,58,1,0,4,Advanced,Advanced,On the Ballot,-12.73,27.280001000000002,1,1,0,0,0,0,0,0,2,1,2,2,2,2,0,2,2,2,2,2,2,1,2
David Kim,5,58,1,0,4,Advanced,Lost,None,-12.73,25.98,0,0,0,0,0,1,0,0,2,0,2,2,2,2,0,2,2,2,2,2,2,0,3
Ethan Pham,5,58,1,0,4,Lost,None,None,-12.73,17.84,0,0,0,0,0,0,0,0,2,0,2,2,2,2,0,2,2,2,2,2,2,0,3
Kathleen Allen,5,58,1,0,4,Lost,None,None,-12.73,11.02,0,1,0,0,0,0,0,0,2,0,2,2,2,2,1,2,2,2,2,2,2,1,2
Melissa Davis,5,58,1,0,4,Lost,None,None,-12.73,13.67,0,0,0,0,0,0,0,0,2,0,2,2,2,2,0,2,2,2,2,2,2,0,3
