candidate,twitter_handle,twitter_handle2,state,district,office_type,race_type,race_primary_election_date,primary_status,primary_runoff_status,general_status,partisan_lean,primary_pctg,won_primary,race,veteran,lgbtq,elected_official,self_funder,stem,obama_alum,dem_party_support,emily_endorsed,gun_sense_candidate,biden_endorsed,warren_endorsed,sanders_endorsed,our_revolution_endorsed,justice_dems_endorsed,pccc_endorsed,indivisible_endorsed,wfp_endorsed,votevets_endorsed,no_labels_support,count_negative,count_neutral,count_positive,sentiment
Gil Cisneros,GilCisnerosCA,,CA,U.S. House California District 39,Representative,Regular,6/5/18,Advanced,None,On the Ballot,2.99,43.23,Yes,Nonwhite,Yes,No,No,Yes,No,No,Yes,No,Yes,,,,No,,,No,,Yes,,282,157,732,2.7685738684884713
Herbert Lee,drherbertlee,,CA,U.S. House California District 39,Representative,Regular,6/5/18,Lost,None,None,2.99,9.4200001,No,Nonwhite,No,No,No,Yes,Yes,No,No,No,No,,,,No,,,No,,No,,4,0,1,0.8
Mai Khanh Tran,DocTran2018,,CA,U.S. House California District 39,Representative,Regular,6/5/18,Lost,None,None,2.99,11.69,No,Nonwhite,No,No,No,Yes,Yes,No,No,Yes,Yes,,,,No,,,No,,No,,0,0,0,
Sam Jammal,samjammal,,CA,U.S. House California District 39,Representative,Regular,6/5/18,Lost,None,None,2.99,11.98,No,Nonwhite,No,No,No,No,No,Yes,No,No,Yes,,,,No,,,Yes,,No,,273,189,487,2.4510010537407796
Suzi Park Leggett,,,CA,U.S. House California District 39,Representative,Regular,6/5/18,Lost,None,None,2.99,3.24,No,Nonwhite,No,No,No,No,No,No,No,No,No,,,,No,,,No,,No,,,,,
Jessica Morse,Morse4America,,CA,U.S. House California District 4,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-18.16,49.099998,Yes,White,No,No,No,No,No,No,,,Yes,,,,No,No,,Yes,,,,187,140,679,2.978131212723658
Regina Bateson,regina_bateson,,CA,U.S. House California District 4,Representative,Regular,6/5/18,Lost,None,None,-18.16,30.07,No,White,No,No,No,No,No,No,,,Yes,,,,No,No,,No,,,,89,109,536,3.217983651226158
Robert Lawton,,,CA,U.S. House California District 4,Representative,Regular,6/5/18,Lost,None,None,-18.16,5.25,No,White,No,No,No,No,No,No,,,No,,,,No,No,,No,,,,,,,
Roza Calderon,rozacalderon,,CA,U.S. House California District 4,Representative,Regular,6/5/18,Lost,None,None,-18.16,15.57,No,Nonwhite,No,No,No,No,Yes,No,,,Yes,,,,Yes,Yes,,No,,,,149,157,376,2.665689149560117
Julia Peacock,peacock4ca42,,CA,U.S. House California District 42,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-15.31,76.019997,Yes,White,No,No,No,No,No,No,,,Yes,,,,,,,Yes,,,,670,651,1601,2.6372347707049966
Norman Quintero,Normanquintero,,CA,U.S. House California District 42,Representative,Regular,6/5/18,Lost,None,None,-15.31,23.98,No,Nonwhite,No,No,No,No,No,No,,,No,,,,,,,No,,,,17,64,101,2.923076923076923
Brian Forde,BrianForde,,CA,U.S. House California District 45,Representative,Regular,6/5/18,Lost,None,None,-1.4299999,13.06,No,White,No,No,No,No,Yes,Yes,No,No,Yes,,No,,No,,No,,,,,0,0,0,
Dave Min,DaveMinCA,,CA,U.S. House California District 45,Representative,Regular,6/5/18,Lost,None,None,-1.4299999,38.740002,No,Nonwhite,No,No,No,No,No,No,No,No,Yes,,No,,No,,No,,,,,497,230,459,1.9359190556492412
Katie Porter,katieporteroc,,CA,U.S. House California District 45,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-1.4299999,44.040001,Yes,White,No,No,No,No,No,No,Yes,Yes,Yes,,Yes,,Yes,,Yes,,,,,395,274,704,2.450109249817917
Kia Hamadanchy,KiaHamadanchy,,CA,U.S. House California District 45,Representative,Regular,6/5/18,Lost,None,None,-1.4299999,4.1500001,No,Nonwhite,No,No,No,No,No,No,No,No,Yes,,No,,Yes,,No,,,,,160,125,232,2.2785299806576402
Deanie Schaarsmith,,,CA,U.S. House California District 48,Representative,Regular,6/5/18,Lost,None,None,-4.1799998,1.79,No,White,No,No,No,No,No,No,No,No,No,,,,,No,,No,,,,,,,
Hans Keirstead,drhanskeirstead,,CA,U.S. House California District 48,Representative,Regular,6/5/18,Lost,None,None,-4.1799998,37.439999,No,White,No,No,No,Yes,Yes,No,No,No,Yes,,,,,No,,No,,,,256,205,360,2.2533495736906213
Harley Rouda,HarleyRouda,,CA,U.S. House California District 48,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-4.1799998,37.599998,Yes,White,No,No,No,Yes,No,No,Yes,No,Yes,,,,,No,,Yes,,,,558,562,1832,2.8631436314363143
Laura Oatman,RepHarley,,CA,U.S. House California District 48,Representative,Regular,6/5/18,Lost,None,None,-4.1799998,3.01,No,White,No,No,No,No,Yes,No,No,No,No,,,,,Yes,,No,,,,0,0,0,
Michael Kotick,MichaelKotick,,CA,U.S. House California District 48,Representative,Regular,6/5/18,Lost,None,None,-4.1799998,3.26,No,White,No,No,No,No,No,No,No,No,No,,,,,No,,No,,,,117,128,353,2.789297658862876
Omar Siddiqui,OmarInTheHouse_,,CA,U.S. House California District 48,Representative,Regular,6/5/18,Lost,None,None,-4.1799998,10.81,No,Nonwhite,No,No,No,Yes,Yes,No,No,No,Yes,,,,,No,,No,,,,43,69,275,3.198966408268734
Rachel Payne,rachelpayne,,CA,U.S. House California District 48,Representative,Regular,6/5/18,Lost,None,None,-4.1799998,4.4899998,No,White,No,No,No,No,Yes,No,No,Yes,No,,,,,No,,No,,,,46,45,298,3.295629820051414
Tony Zarkades,tonyz4congress,,CA,U.S. House California District 48,Representative,Regular,6/5/18,Lost,None,None,-4.1799998,1.6,No,White,Yes,No,No,No,Yes,No,No,No,No,,,,,No,,No,,,,151,73,94,1.6415094339622642
Douglas Applegate,ApplegateCA49,,CA,U.S. House California District 49,Representative,Regular,6/5/18,Lost,None,None,1.42,25.76,No,White,Yes,No,No,No,No,No,No,No,,,,,,Yes,No,,,Yes,,171,100,87,1.5307262569832403
Mike Levin,MikeLevinCA,,CA,U.S. House California District 49,Representative,Regular,6/5/18,Advanced,None,On the Ballot,1.42,34.400002,Yes,White,No,No,No,No,No,No,Yes,No,,,,,,No,Yes,,,No,,646,372,1104,2.4316682375117815
Paul Kerr,,,CA,U.S. House California District 49,Representative,Regular,6/5/18,Lost,None,None,1.42,8.75,No,White,Yes,No,No,Yes,No,No,No,No,,,,,,No,No,,,No,,,,,
Sara Jacobs,SaraJacobsCA,,CA,U.S. House California District 49,Representative,Regular,6/5/18,Lost,None,None,1.42,31.09,No,White,No,No,No,Yes,No,Yes,No,Yes,,,,,,No,No,,,No,,106,90,477,3.1025260029717683
Ammar Campa-Najjar,ACampaNajjar,,CA,U.S. House California District 50,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-19.48,48.360001,Yes,Nonwhite,No,No,No,No,No,Yes,,,,,,,,Yes,Yes,Yes,,,,115,153,499,3.0013037809647978
Josh Butner,JoshButnerCA50,,CA,U.S. House California District 50,Representative,Regular,6/5/18,Lost,None,None,-19.48,35.509998,No,White,Yes,No,No,No,No,No,,,,,,,,No,No,No,,Yes,,17,14,64,2.9894736842105263
Patrick Malloy,,,CA,U.S. House California District 50,Representative,Regular,6/5/18,Lost,None,None,-19.48,16.129999,No,White,No,No,No,No,No,No,,,,,,,,No,No,No,,,,,,,
Marge Doyle,Marge4Congress,,CA,U.S. House California District 8,Representative,Regular,6/5/18,Lost,None,,-17.33,59.610001,,White,No,Yes,No,No,Yes,No,,,,,,,,,,,,,,305,183,966,2.909215955983494
Rita Ramirez,,,CA,U.S. House California District 8,Representative,Regular,6/5/18,Lost,None,,-17.33,27.67,,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,,,,,
Ronald O'Donnell,,,CA,U.S. House California District 8,Representative,Regular,6/5/18,Lost,None,,-17.33,12.71,,White,No,No,No,No,No,No,,,,,,,,,,,,,,,,,
Cary Kennedy,Kennedy4CO,,CO,Governor of Colorado,Governor,Regular,6/26/18,Lost,None,None,2.49,24.719999,No,White,No,No,Yes,No,No,No,,Yes,Yes,,,,,,,,,,,5,5,11,2.5714285714285716
Donna Lynne,DonnaLynneCO,,CO,Governor of Colorado,Governor,Regular,6/26/18,Lost,None,None,2.49,7.2800002,No,White,No,No,Yes,No,No,No,,No,No,,,,,,,,,,,34,39,221,3.272108843537415
Jared Polis,jaredpolis,,CO,Governor of Colorado,Governor,Regular,6/26/18,Advanced,None,On the Ballot,2.49,44.43,Yes,White,No,Yes,Yes,Yes,No,No,,No,No,,,,,,,,,,,82,88,265,2.8413793103448275
Michael Johnston,MikeJohnstonCO,,CO,Governor of Colorado,Governor,Regular,6/26/18,Lost,None,None,2.49,23.57,No,White,No,No,Yes,No,No,Yes,,No,No,,,,,,,,,,,83,116,527,3.2231404958677685
