candidate,twitter_handle,twitter_handle2,state,district,office_type,race_type,race_primary_election_date,primary_status,primary_runoff_status,general_status,partisan_lean,primary_pctg,won_primary,race,veteran,lgbtq,elected_official,self_funder,stem,obama_alum,dem_party_support,emily_endorsed,gun_sense_candidate,biden_endorsed,warren_endorsed,sanders_endorsed,our_revolution_endorsed,justice_dems_endorsed,pccc_endorsed,indivisible_endorsed,wfp_endorsed,votevets_endorsed,no_labels_support,has_twitter,num_endorsements,gun_control_tweet_count,health_care_tweet_count,abortion_tweet_count,immigration_tweet_count,kavanaugh_tweet_count,education_tweet_count,jobs_tweet_count,tax_tweet_count,fake_news_tweet_count,environment_tweet_count,sexual_assault_tweet_count,gender_tweet_count,women_tweet_count,lgbt_tweet_count,freedom_tweet_count,trump_tweet_count,num_tweets,count_negative,count_neutral,count_positive,sentiment,gun_control_sentiment,health_care_sentiment,abortion_sentiment,immigration_sentiment,kavanaugh_sentiment,education_sentiment,jobs_sentiment,tax_sentiment,fake_news_sentiment,environment_sentiment,sexual_assault_sentiment,gender_sentiment,women_sentiment,lgbt_sentiment,freedom_sentiment,trump_sentiment
Joseph Cervantes,SenJoeCervantes,,NM,Governor of New Mexico,Governor,Regular,6/5/18,Lost,None,None,6.1599998,11.47,No,Nonwhite,No,No,Yes,Yes,No,No,,No,,,,,,,,,,,,True,0,3,2,0,9,0,5,3,1,0,6,0,0,0,0,0,5,189,73,66,50,0.3862433862433862,0.45454545454545453,0.42857142857142855,,1.0,0.0,0.5,0.6666666666666666,0.0,0.0,0.0,,,,,,0.75
Michelle Lujan Grisham,Michelle4NM,GovMLG,NM,Governor of New Mexico,Governor,Regular,6/5/18,Advanced,None,On the Ballot,6.1599998,66.379997,Yes,Nonwhite,No,No,Yes,No,No,No,,Yes,,,,,,,,,,,,True,1,22,52,7,22,0,108,156,3,0,54,0,0,0,8,1,17,1176,73,235,868,0.06207482993197279,,,,,,,,,,,,,,,,
Antoinette Sedillo Lopez,ASL4Justice4all,,NM,U.S. House New Mexico District 1,Representative,Regular,6/5/18,Lost,None,None,13.77,20.610001,No,Nonwhite,No,No,No,No,No,No,,No,No,,No,,Yes,Yes,,,Yes,No,No,True,3,22,32,1,15,9,7,24,1,0,17,15,15,15,5,1,16,404,107,122,175,0.2648514851485149,0.42857142857142855,0.21621621621621623,0.0,0.0,0.0,0.15625,0.3,0.3333333333333333,,0.25,0.0,0.0,0.0,0.42857142857142855,0.0,0.0
Damian Lara,Lara_BetterNM,,NM,U.S. House New Mexico District 1,Representative,Regular,6/5/18,Lost,None,None,13.77,3.29,No,Nonwhite,No,No,No,No,No,No,,No,No,,No,,No,No,,,No,No,No,True,0,8,11,2,11,0,0,5,0,0,8,0,0,0,2,0,14,171,20,69,82,0.11695906432748535,0.0,0.08333333333333333,0.0,0.5,,0.0,0.08333333333333333,0.0,,,,,,0.0,0.25,0.0
Damon Martinez,DamonForNM,,NM,U.S. House New Mexico District 1,Representative,Regular,6/5/18,Lost,None,None,13.77,25.809999,No,Nonwhite,Yes,No,No,No,No,No,,No,No,,No,,No,No,,,No,Yes,Yes,True,2,153,28,17,40,0,18,14,3,0,11,23,23,23,4,12,150,1455,496,417,542,0.340893470790378,0.35714285714285715,0.3736842105263158,0.14285714285714285,0.29411764705882354,0.25,0.4153846153846154,0.37962962962962965,0.4782608695652174,0.0,0.1875,0.4666666666666667,0.4666666666666667,0.4117647058823529,0.5,0.3333333333333333,0.4696969696969697
Debra Haaland,Deb4CongressNM,,NM,U.S. House New Mexico District 1,Representative,Regular,6/5/18,Advanced,None,On the Ballot,13.77,40.59,Yes,Nonwhite,No,No,No,No,No,Yes,,Yes,No,,Yes,,No,No,,,No,No,No,True,2,60,93,29,62,29,30,89,18,0,107,6,6,8,25,4,173,1799,417,549,833,0.23179544191217344,0.17647058823529413,0.23125,0.2,0.15384615384615385,0.3333333333333333,0.20454545454545456,0.2830188679245283,0.13333333333333333,,0.3953488372093023,0.2608695652173913,0.2608695652173913,0.2413793103448276,0.20833333333333334,0.25,0.28125
Patrick Davis,PatDavisNM,,NM,U.S. House New Mexico District 1,Representative,Regular,6/5/18,Lost,None,None,13.77,3.8,No,White,No,Yes,Yes,No,No,No,,No,Yes,,No,,No,No,,,No,No,No,True,1,112,10,1,14,1,4,5,3,0,8,0,0,0,18,0,44,481,52,127,302,0.10810810810810813,0.17391304347826086,0.08333333333333333,0.0,0.0,0.0,0.0,0.06451612903225806,0.0,,0.0,,,,,0.0,0.13043478260869565
Paul Moya,PaulMoya,,NM,U.S. House New Mexico District 1,Representative,Regular,6/5/18,Lost,None,None,13.77,5.8899999,No,Nonwhite,No,No,No,No,No,No,,No,No,,No,,No,No,,,No,No,No,True,0,7,0,0,1,0,12,3,0,0,1,2,2,2,0,0,2,175,35,58,82,0.2,,,,,,,,,,,,,,,0.0,0.1875
Madeline Hildebrandt,Mad_Hildebrandt,,NM,U.S. House New Mexico District 2,Representative,Regular,6/5/18,Lost,None,None,-11.88,27.379999,No,,Yes,No,No,No,No,No,No,No,,,,,Yes,,,,,,,True,1,9,14,1,4,38,17,16,1,0,6,59,59,59,2,2,47,898,120,361,417,0.133630289532294,0.0,0.04,,0.0,0.0,0.125,0.0,0.0,,0.0,,,,,0.5,0.22058823529411764
Xochitl Torres Small,XochforCongress,,NM,U.S. House New Mexico District 2,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-11.88,72.620003,Yes,Nonwhite,No,No,No,No,No,No,Yes,Yes,,,,,No,,,,,,,True,2,4,14,0,5,0,11,7,0,0,1,0,0,1,0,1,0,250,27,44,179,0.108,0.0,,,,,,,,,,,,,,,0.0
