candidate,twitter_handle,twitter_handle2,state,district,office_type,race_type,race_primary_election_date,primary_status,primary_runoff_status,general_status,primary_pctg,won_primary,rep_party_support,trump_endorsed,bannon_endorsed,great_america_endorsed,nra_endorsed,right_to_life_endorsed,susan_b_anthony_endorsed,club_for_growth_endorsed,koch_support,house_freedom_support,tea_party_endorsed,main_street_endorsed,chamber_endorsed,no_labels_support
Neil Combee,NeilCombee,,FL,U.S. House Florida District 15,Representative,Regular,8/28/18,Lost,None,None,34.1,No,,,,,,No,,,,,,,,
Ross Spano,RossSpano,,FL,U.S. House Florida District 15,Representative,Regular,8/28/18,Advanced,None,On the Ballot,43.7,Yes,,,,,,,,,,,,,,
Sean Harper,,,FL,U.S. House Florida District 15,Representative,Regular,8/28/18,Lost,None,None,10,No,,,,,,No,,,,,,,,
Danny Kushmer,DannyKushmer,,FL,U.S. House Florida District 15,Representative,Regular,8/28/18,Lost,None,None,6.7,No,,,,,,,,,,,,,,
Curt Rogers,,,FL,U.S. House Florida District 15,Representative,Regular,8/28/18,Lost,None,None,,No,,,,,,No,,,,,,,,
Ed Shoemaker,EdShoemakerFl,,FL,U.S. House Florida District 15,Representative,Regular,8/28/18,Lost,None,None,5.5,No,,,,,,No,,,,,,,,
Greg Steube,gregsteube,,FL,U.S. House Florida District 17,Representative,Regular,8/28/18,Advanced,None,On the Ballot,62.4,Yes,,,,,Yes,,,Yes,Yes,Yes,Yes,No,No,
Julio Gonzalez,TaxReformExpert,,FL,U.S. House Florida District 17,Representative,Regular,8/28/18,Lost,None,None,18.3,No,,,,,No,,,No,No,No,No,Yes,Yes,
Bill Akins,,,FL,U.S. House Florida District 17,Representative,Regular,8/28/18,Lost,None,None,19.3,No,,,,,No,No,,No,No,No,No,No,No,
Nicolas Kimaz,NicolasKimazFL,,FL,U.S. House Florida District 22,Representative,Regular,8/28/18,Advanced,None,On the Ballot,41,Yes,,,,,,No,,,,,,,,
Javier Manjarres,JavManjarres,,FL,U.S. House Florida District 22,Representative,Regular,8/28/18,Lost,None,None,33.9,No,,,,,,Yes,,,,,,,,
Eddison Walters,eddisonwalters,,FL,U.S. House Florida District 22,Representative,Regular,8/28/18,Lost,None,None,25.1,No,,,,,,No,,,,,,,,
Carla Spalding,carla_spalding,,FL,U.S. House Florida District 23,Representative,Regular,8/28/18,Lost,None,None,21.5,No,,,,,,,,,,,,,,
Joe Kaufman,JoeKaufmanUSA,,FL,U.S. House Florida District 23,Representative,Regular,8/28/18,Advanced,None,On the Ballot,44.7,Yes,,,,,,,,,,,,,,
Carlos Reyes,CJRCampaign,,FL,U.S. House Florida District 23,Representative,Regular,8/28/18,Lost,None,None,33.8,No,,,,,,,,,,,,,,
